emp_id,name,role,hire_date,rate,status,certifications,manager_id,team
EMP-001,Employee Name 1,senior_tech,2021-02-02,26,active,CERT-2,EMP-002,Team 2
EMP-002,Employee Name 2,manager,2022-03-03,27,active,CERT-3,EMP-003,Team 3
EMP-003,Employee Name 3,dispatcher,2023-04-04,28,active,CERT-4,EMP-004,Team 4
EMP-004,Employee Name 4,sales,2024-05-05,29,active,CERT-5,EMP-005,Team 5
EMP-005,Employee Name 5,technician,2025-06-06,30,active,CERT-1,EMP-006,Team 6
EMP-006,Employee Name 6,senior_tech,2026-07-07,31,active,CERT-2,EMP-007,Team 7
EMP-007,Employee Name 7,manager,2020-08-08,32,active,CERT-3,EMP-008,Team 8
EMP-008,Employee Name 8,dispatcher,2021-09-09,33,active,CERT-4,EMP-009,Team 1
EMP-009,Employee Name 9,sales,2022-01-10,34,active,CERT-5,EMP-010,Team 2
EMP-010,Employee Name 10,technician,2023-02-11,35,on_leave,CERT-1,EMP-011,Team 3
EMP-011,Employee Name 11,senior_tech,2024-03-12,36,active,CERT-2,EMP-012,Team 4
EMP-012,Employee Name 12,manager,2025-04-13,37,active,CERT-3,EMP-013,Team 5
EMP-013,Employee Name 13,dispatcher,2026-05-14,38,active,CERT-4,EMP-014,Team 6
EMP-014,Employee Name 14,sales,2020-06-15,39,active,CERT-5,EMP-015,Team 7
EMP-015,Employee Name 15,technician,2021-07-16,40,terminated,CERT-1,EMP-016,Team 8
EMP-016,Employee Name 16,senior_tech,2022-08-17,41,active,CERT-2,EMP-017,Team 1
EMP-017,Employee Name 17,manager,2023-09-18,42,active,CERT-3,EMP-018,Team 2
EMP-018,Employee Name 18,dispatcher,2024-01-19,43,active,CERT-4,EMP-019,Team 3
EMP-019,Employee Name 19,sales,2025-02-20,44,active,CERT-5,EMP-020,Team 4
EMP-020,Employee Name 20,technician,2026-03-21,45,on_leave,CERT-1,EMP-001,Team 5
EMP-021,Employee Name 21,senior_tech,2020-04-22,46,active,CERT-2,EMP-002,Team 6
EMP-022,Employee Name 22,manager,2021-05-23,47,active,CERT-3,EMP-003,Team 7
EMP-023,Employee Name 23,dispatcher,2022-06-24,48,active,CERT-4,EMP-004,Team 8
EMP-024,Employee Name 24,sales,2023-07-25,49,active,CERT-5,EMP-005,Team 1
EMP-025,Employee Name 25,technician,2024-08-26,50,active,CERT-1,EMP-006,Team 2
EMP-026,Employee Name 26,senior_tech,2025-09-27,51,active,CERT-2,EMP-007,Team 3
EMP-027,Employee Name 27,manager,2026-01-28,52,active,CERT-3,EMP-008,Team 4
EMP-028,Employee Name 28,dispatcher,2020-02-01,53,active,CERT-4,EMP-009,Team 5
EMP-029,Employee Name 29,sales,2021-03-02,54,active,CERT-5,EMP-010,Team 6
EMP-030,Employee Name 30,technician,2022-04-03,55,on_leave,CERT-1,EMP-011,Team 7
EMP-031,Employee Name 31,senior_tech,2023-05-04,56,active,CERT-2,EMP-012,Team 8
EMP-032,Employee Name 32,manager,2024-06-05,57,active,CERT-3,EMP-013,Team 1
EMP-033,Employee Name 33,dispatcher,2025-07-06,58,active,CERT-4,EMP-014,Team 2
EMP-034,Employee Name 34,sales,2026-08-07,59,active,CERT-5,EMP-015,Team 3
EMP-035,Employee Name 35,technician,2020-09-08,60,active,CERT-1,EMP-016,Team 4
