vendor_id,name,category,contact_name,contact_email,contact_phone,payment_terms,status,annual_spend
VEN-0001,Vendor Name 1,equipment,Contact 1,vendor1@supplier.com,555-1001,Net 30,active,5100
VEN-0002,Vendor Name 2,software,Contact 2,vendor2@supplier.com,555-1002,Net 45,active,5200
VEN-0003,Vendor Name 3,services,Contact 3,vendor3@supplier.com,555-1003,Net 60,active,5300
VEN-0004,Vendor Name 4,parts,Contact 4,vendor4@supplier.com,555-1004,Net 75,active,5400
VEN-0005,Vendor Name 5,supplies,Contact 5,vendor5@supplier.com,555-1005,Net 90,active,5500
VEN-0006,Vendor Name 6,equipment,Contact 6,vendor6@supplier.com,555-1006,Net 15,active,5600
VEN-0007,Vendor Name 7,software,Contact 7,vendor7@supplier.com,555-1007,Net 30,active,5700
VEN-0008,Vendor Name 8,services,Contact 8,vendor8@supplier.com,555-1008,Net 45,active,5800
VEN-0009,Vendor Name 9,parts,Contact 9,vendor9@supplier.com,555-1009,Net 60,active,5900
VEN-0010,Vendor Name 10,supplies,Contact 10,vendor10@supplier.com,555-1010,Net 75,inactive,6000
VEN-0011,Vendor Name 11,equipment,Contact 11,vendor11@supplier.com,555-1011,Net 90,active,6100
VEN-0012,Vendor Name 12,software,Contact 12,vendor12@supplier.com,555-1012,Net 15,active,6200
VEN-0013,Vendor Name 13,services,Contact 13,vendor13@supplier.com,555-1013,Net 30,active,6300
VEN-0014,Vendor Name 14,parts,Contact 14,vendor14@supplier.com,555-1014,Net 45,active,6400
VEN-0015,Vendor Name 15,supplies,Contact 15,vendor15@supplier.com,555-1015,Net 60,pending_review,6500
VEN-0016,Vendor Name 16,equipment,Contact 16,vendor16@supplier.com,555-1016,Net 75,active,6600
VEN-0017,Vendor Name 17,software,Contact 17,vendor17@supplier.com,555-1017,Net 90,active,6700
VEN-0018,Vendor Name 18,services,Contact 18,vendor18@supplier.com,555-1018,Net 15,active,6800
VEN-0019,Vendor Name 19,parts,Contact 19,vendor19@supplier.com,555-1019,Net 30,active,6900
VEN-0020,Vendor Name 20,supplies,Contact 20,vendor20@supplier.com,555-1020,Net 45,inactive,7000
VEN-0021,Vendor Name 21,equipment,Contact 21,vendor21@supplier.com,555-1021,Net 60,active,7100
VEN-0022,Vendor Name 22,software,Contact 22,vendor22@supplier.com,555-1022,Net 75,active,7200
VEN-0023,Vendor Name 23,services,Contact 23,vendor23@supplier.com,555-1023,Net 90,active,7300
VEN-0024,Vendor Name 24,parts,Contact 24,vendor24@supplier.com,555-1024,Net 15,active,7400
